feature,base_feature,importance,importance_abs,importance_rank,importance_share,feature_group
num__mortgage_rate_5yr_end_of_year_yoy_change,mortgage_rate_5yr_end_of_year_yoy_change,0.0,0.0,44,0.0,macro_temporal
num__mortgage_rate_5yr_end_of_year_lag1,mortgage_rate_5yr_end_of_year_lag1,0.0,0.0,45,0.0,macro_temporal
num__mortgage_rate_5yr_avg_lag1,mortgage_rate_5yr_avg_lag1,0.0,0.0,46,0.0,macro_temporal
num__mortgage_rate_5yr_avg_yoy_change,mortgage_rate_5yr_avg_yoy_change,0.0,0.0,47,0.0,macro_temporal
num__mortgage_rate_5yr_end_of_year,mortgage_rate_5yr_end_of_year,0.0,0.0,48,0.0,macro_temporal
num__mortgage_rate_5yr_avg,mortgage_rate_5yr_avg,0.0,0.0,49,0.0,macro_temporal
num__LAND_COORDINATE,LAND_COORDINATE,0.0,0.0,50,0.0,property_location_structure
num__BIG_IMPROVEMENT_YEAR,BIG_IMPROVEMENT_YEAR,0.0,0.0,51,0.0,property_location_structure
num__study_permits_bc_total_yoy_change,study_permits_bc_total_yoy_change,0.0,0.0,52,0.0,macro_temporal
num__study_permits_bc_total_lag1,study_permits_bc_total_lag1,0.0,0.0,53,0.0,macro_temporal
num__study_permits_bc_total,study_permits_bc_total,0.0,0.0,54,0.0,macro_temporal
num__ircc_pr_bc_total_yoy_change,ircc_pr_bc_total_yoy_change,0.0,0.0,55,0.0,macro_temporal
num__ircc_pr_bc_total_lag1,ircc_pr_bc_total_lag1,0.0,0.0,56,0.0,macro_temporal
num__ircc_pr_vancouver_cma_yoy_change,ircc_pr_vancouver_cma_yoy_change,0.0,0.0,57,0.0,macro_temporal
num__ircc_pr_vancouver_cma_lag1,ircc_pr_vancouver_cma_lag1,0.0,0.0,58,0.0,macro_temporal
num__neigh_prev_3yr_rolling_mean_land_value,neigh_prev_3yr_rolling_mean_land_value,0.0,0.0,59,0.0,other
num__cmhc_rental_supply_existing_converted,cmhc_rental_supply_existing_converted,0.0,0.0,60,0.0,macro_temporal
num__cmhc_rental_supply_net_change_total_yoy_change,cmhc_rental_supply_net_change_total_yoy_change,0.0,0.0,61,0.0,macro_temporal
num__cmhc_rental_supply_new_added_lag1,cmhc_rental_supply_new_added_lag1,0.0,0.0,62,0.0,macro_temporal
num__cmhc_rental_supply_existing_converted_yoy_change,cmhc_rental_supply_existing_converted_yoy_change,0.0,0.0,63,0.0,macro_temporal
num__cmhc_rental_supply_new_added_yoy_change,cmhc_rental_supply_new_added_yoy_change,0.0,0.0,64,0.0,macro_temporal
num__cmhc_rental_supply_net_change_total_lag1,cmhc_rental_supply_net_change_total_lag1,0.0,0.0,65,0.0,macro_temporal
